dataset_name,claim,task,context,label,question,answer,explanation
narrativeqa,,qa," Brad Hamilton (Judge Reinhold) is a popular senior who is looking forward to his last year of school and almost has his 1960 Buick LeSabre paid off. He has a part-time job at All-American Burger, a fast food joint where his girlfriend, Lisa, also works. This esteemed establishment has a strict policy of etiquette: ""No Shirt, No Shoes, No Dice."" Brad is subsequently fired for losing his temper at an obnoxious customer. When Brad tries to tell Lisa how much he needs her, she says she is breaking up with him to see other guys. Brad quits his job at Captain Hook Fish & Chips because of the humiliation of having to wear a pirate costume when delivering food. He later gets a job at Mi-T-Mart, where he successfully thwarts an attempted robbery and is subsequently promoted to store manager.
Brad's sister Stacy (Jennifer Jason Leigh) is a 15-year-old sophomore and also a virgin. Stacy works at a pizza parlor at the mall alongside her outspoken friend, popular and sexually active Linda (Phoebe Cates). One night at work, Stacy takes an order from Ron Johnson, a 26-year-old stereo salesman who asks her out after she tells him she's nineteen. She then sneaks out to meet him and they have sex in a dugout at a softball field. Stacy never hears from Ron again, revealing the loss of her virginity to Linda.
Mike Damone (Robert Romanus), a dilettante who earns money taking bets and scalping tickets, fancies himself a sagacious and worldly ladies' man. After Mike's friend Mark Ratner (Brian Backer) proclaims his love for Stacy to him, Mike lets him in on his five secrets for picking up girls. Mike later coaxes Mark into taking Stacy on a date to a German restaurant. Afterwards, at her home, Stacy invites Mark into her bedroom, where they look at Stacy's photo album together. They eventually kiss, but he soon shies away and leaves after Stacy attempts to initiate intimacy with him. Stacy invites Damone over after school for a swim in the pool, which leads to sex in the pool house between the two. Stacy later informs Damone that she is pregnant as a result. But on the day of her appointment, embarrassed at being unable to raise the money for his half of the bill, Damone ignores her. Stacy asks Brad to drive her supposedly to a bowling alley, but she goes to the abortion clinic. When Brad returns, Stacy makes him promise not to tell their parents. When Stacy tells Linda, Linda becomes angry at Damone, leading to an almost physical confrontation between Damone and Mark in the boys' locker room until it is broken up by the vice principal.
Jeff Spicoli (Sean Penn) is a surfer and habitual marijuana user who runs afoul of a strict history teacher Mr. Hand (Ray Walston), who is intolerant of Spicoli's disregard for his class. One night, Spicoli wrecks Ridgemont star football player Charles Jefferson's 1979 Chevrolet Camaro Z28 during a joyride with Jefferson's younger brother. Spicoli decides to park the car in front of the school with slurs painted on it supposedly written by Ridgemont's rival, Lincoln High. When Ridgemont plays Lincoln, Jefferson is angry about his car, thrashes several of Lincoln's players, and wins the game for Ridgemont. On the evening of the graduation dance, Mr. Hand shows up at Spicoli's house and informs him that since he has wasted eight hours of class time over the past year, Mr. Hand intends to make up for it that night. They have a one-on-one session that lasts until Mr. Hand is satisfied that Spicoli has understood the lesson.
In addition to Mark and Stacy's continuing relationship and Brad's promotion to manager at the convenience store, fates of some of the other characters are revealed in an epilogue sequence prior to the closing credits: Spicoli saves Brooke Shields from drowning and then spends the reward money hiring Van Halen to play at his birthday party. Linda gets accepted to UC Riverside and moves in with her Abnormal Psychology professor. Damone gets arrested for scalping Ozzy Osbourne tickets and gets a job at 7-Eleven when he gets out, and Mr. Hand still believes everyone is on drugs.",,Who joyrides in Charles Jefferson's Camaro with Jefferson's little brother?,Jeff Spicoli, The context mentions that one night Spicoli wrecks Charles Jefferson's 1979 Chevrolet Camaro Z28 during a joyride with Jefferson's younger brother
narrativeqa,,qa," At the beginning of this story, it is made quite clear that Dorothy Gale (the primary protagonist of many of the previous Oz books), is in the habit of freely speaking of her many adventures in the Land of Oz to her only living relatives, her Aunt Em and Uncle Henry. Neither of them believes a word of her stories, but consider her a dreamer, as her dead mother had been. She is undeterred (unlike her alter ego in the film Return to Oz who is much perturbed by her guardians' doubts.)
Later, it is revealed that the destruction of their farmhouse by the tornado back in The Wonderful Wizard of Oz has left Uncle Henry in terrible debt. In order to pay it, he has taken out a mortgage on his farm. If he cannot repay his creditors, they will seize the farm, thus leaving Henry and his family homeless. He is not too afraid for himself, but both he and his wife, Aunt Em, fear very much for their niece's future. Upon learning this, Dorothy quickly arranges with Princess Ozma to let her bring her guardians to Oz where they will be very happier and forever safe. Using the Magic Belt (a tool captured from the jealous Nome King Roquat), Ozma transports them to her throne room. They are given rooms to live in and luxuries to enjoy, including a vast and complex wardrobe. They meet with many of Dorothy's animal friends, including the Cowardly Lion and Billina the Yellow Hen.
In the underground Nome Kingdom, the Nome King, Roquat, is plotting to conquer the Land of Oz and recover his magic belt, which Dorothy took from him in Ozma of Oz. After ordering the expulsion of his General (who will not agree to such an attack) and the death of his Colonel (who also refuses), King Roquat holds counsel with a veteran soldier called Guph. Guph believes that against the many magicians of Oz (the reputation of which has grown in the telling), the Nome Army has no chance alone. He therefore sets out personally to recruit allies.
Dorothy, accompanied by the Wizard of Oz and several other friends, departs the Emerald City in a carriage drawn by the Wooden Sawhorse, intending to give her aunt and uncle a tour of the land. Many of the people encountered have never been seen in other books:
The living cut-out paper dolls created by an immortal called Miss Cuttenclip.
The anthropomorphic jigsaw puzzles known as the Fuddles.
The loquacious Rigmaroles.
The paranoid Flutterbudgets.
The living kitchen utensils of Utensia.
The anthropomorphic pastries of Bunbury.
The civilized rabbits of Bunnybury.
A zebra who holds geographical disputes with a crab.
Other figures, more familiar to readers of previous books, include the Tin Woodman and the Scarecrow, as well as the four tribes of Oz (the Munchkins, the Quadlings, the Gillikins, and the Winkies).
The Nome General Guph visits three nations: the Whimsies, the Growleywogs, and the Phanfasms:
The Whimsies are large and hulking, but possess disproportionately small heads. This causes other species to call them stupid, stripping them of any self-esteem. To deny this, the Whimsies wear enormous, luridly designed masks that cover all of their heads.
The Growleywogs are muscular giants, possessing no surplus flesh and no mercy. They are arrogant and cruel. As such, they are eager not only to help the Nomes conquer Oz, but also to subjugate the Nomes as well. Of the latter plan, they say nothing, but send Guph on his way.
Last of his meetings is that which is with the mysterious, diabolical Phanfasms. To Guph, the Phanfasms resemble men, but having the heads of various carnivorous animals. Their true forms, number, standard of living, culture, and extent of influence remain unknown to both Guph and the reader, although both receive hints in the narrative. The Phanfasms send Guph home, telling him that they will conquer Oz alongside the other armies. It is their plan to do so, then to turn traitor and dominate their allies.
Having learned of this through Ozma's omniscient Magic Picture, the people of Oz become worried.
The climax takes place in the Emerald City, where Ozma wishes (using her magic belt) for a large amount of dust to appear in the tunnel. The Nome King and his allies are defeated after they drink thirstily from the Fountain of Oblivion and forget all their evil plans. Ozma uses the magic belt to send the Nome King and his allies home. To forestall a future invasion of Oz, Glinda the Good Witch uses a magic charm to render Oz invisible and unreachable to everyone except those within the land itself.",,What does Glinda's charm do to Oz?,It makes it invisible and unreachable by those outside the kingdom.,The context mentions that Glinda the Good Witch uses a magic charm to render Oz invisible and unreachable to everyone except those within the land itself.
qaconv,,qa,"FARAI CHIDEYA, host: There's an old saying that goes leaders are born not made. But scores of prominent people including Colin Powell argue that leadership is learned, so apparently does media mogul Oprah Winfrey.|FARAI CHIDEYA, host: She founded a girls' leadership academy near Johannesburg, South Africa. But last week, claims of child abuse surfaced at Winfrey's Academy for Girls. One dorm matron faces 13 charges of indecent assault and injury for allegedly harming at least six students.|FARAI CHIDEYA, host: During a press conference yesterday, Oprah Winfrey said she was devastated by the news and is conducting a private investigation. She also praised the students who reported the abuse.|Ms. OPRAH WINFREY (Founder, Oprah Winfrey Leadership Academy for Girls): They represent, those 15 girls, the new generation of youth in South Africa who fearlessly take back their voices to speak up about their concern for their fellow classmates. This is really what we're trying to teach. This is what leadership is all about - to use your voice no matter what the personal consequences, so that abuse will end and good will prevail.|FARAI CHIDEYA, host: Here with more is Newsweek national correspondent Allison Samuels. Hey, Allison|Ms. ALLISON SAMUELS (National Correspondent, Newsweek): Hey. How are you doing?|FARAI CHIDEYA, host: So you visited the school and you saw Oprah interview people who wanted to work for the school. What do you think went wrong here?|",,In which country did Oprah Winfrey found a girls' leadership academy?,South Africa, The context says she (Oprah) founded a girls' leadership academy near Johannesburg South Africa.
qaconv,,qa,"andy.zipper: I completely agree. If you don't mind, please give her a call and introduce yourself. I expect Sheri as part of her transition to introduce Savita to the relevant folks in the operations organization. If it were not for Jennifer Deny taking maternity leave I would expect her to fulfill the role Sheri had with operations, but I would like Savita to develop those relationships as well.

As a point of interest, why would I ever not support Savita maintaining the free flow of information between the groups ? I have absolutely nothing to gain and everything to lose from this not occurring.|Greg Piper: I am confident this will work out.
Thanks.
GP|",,What is the name of the lady who is on maternity leave?,Jennifer Deny,The conversation mentions If it were not for Jennifer Deny taking maternity leave... 
qaconv,,qa,"MS. WOODMAN (RESPONDENT): What they've decided is that, in looking at aggravating and mitigating circumstances together, they can't determine, one way or the other, whether aggravators outweigh mitigators or mitigators --|CHIEF JUSTICE ROBERTS: But --|MS. WOODMAN (RESPONDENT): -- outweigh aggravators.|CHIEF JUSTICE ROBERTS: But how realistic is that as a possibility when you're talking about abstract concepts as mitigating factors, like how much mercy should be shown? I mean, do you really think there's any juror who's going to say, ""All right, I'm giving -- I've found the aggravating circumstance that he killed two people, and I've found the aggravating circumstance that it was particularly heinous to slash the throat and leave the toddler to burn. But I also think that mercy ought to be shown. But, you know, it just happens to come up to exactly the level of the aggravating circumstances. So, I'm stuck. I don't know what to do."" I don't think that's the way jurors would react. They either think that the need to show mercy or, the one before that, that he's a talented artist, outweighs the fact of the aggravating circumstances, or it doesn't. I just think it's an unrealistic supposition. And there's nothing in the statute -- they don't get an equipoise instruction. So, how -- I mean, is there any reason to think that jurors do come to that balance between such inchoate concepts in the first place?|",,What does the jurors think mercy should be shown?,just happens to come up to exactly the level of the aggravating circumstances, the context states I also think that mercy ought to be shown. But you know it just happens to come up to exactly the level of the aggravating circumstances
ropes,,qa,"The number of viruses in the oceans decreases further offshore and deeper into the water, where there are fewer host organisms.In January 2018, scientists reported that 800 million viruses, mainly of marine origin, are deposited daily from the Earth's atmosphere onto every square meter of the planet's surface, as the result of a global atmospheric stream of viruses, circulating above the weather system, but below the altitude of usual airline travel, distributing viruses around the planet.Like any organism, marine mammals are susceptible to viral infections. In 1988 and 2002, thousands of harbour seals were killed in Europe by phocine distemper virus. Many other viruses, including caliciviruses, herpesviruses, adenoviruses and parvoviruses, circulate in marine mammal populations.
John is a marine biologist. He was collecting samples from six locations in the ocean, location A, location B, location C, location D, location E, and location F. Location A was near the shore, but location B was farther offshore. Location C was in shallow water, but location D was deeper into the ocean. Location E was a habitat with very few organisms, but location F was a habitat full of organisms.",,"Which location would see more viruses, location C or location D?",location C,The number of viruses in the oceans decreases further offshore and deeper into the water hence the shallower water would have more viruses
ropes,,qa,"Continued heating of the water after the ice has completely melted will now increase the kinetic energy of the liquid molecules and the temperature will rise. Assuming that the atmospheric pressure is standard, the temperature will rise steadily until it reaches 100°C. At this point, the added energy from the heat will cause the liquid to begin to vaporize. As with the previous state change, the temperature will remain at 100°C while the water molecules are going from the liquid to the gas or vapor state. Once all the liquid has completely boiled away, continued heating of the steam (remember the container is closed) will increase its temperature above 100°C.
Tommy sets two pots of water on the stove and sets each burner to a different temperature. Pot F is set on a burner with a temperature below the boiling point and Pot G is on a burner set to above the boiling point. Tommy walks away to check his email and comes back fifteen minutes later to check on his water.",,The water in which pot will not begin to vaporize?,Pot F, The context states that Pot F is set on a burner with a temperature below the boiling point hence the water in Pot F will not begin to vaporize
ropes,,qa,"Rain dissolves fertilizer in the soil. Runoff carries it away. The fertilizer ends up in bodies of water, from ponds to oceans. Nitrogen is a fertilizer in the water. Since there is a lot of nitrogen, it causes algae to grow out of control. Pictured below is a pond covered with algae ( Figure below ). Algae use up carbon dioxide in the water. After the algae die, decomposers break down the dead tissue. The decomposers use up all the oxygen in the water. This creates a dead zone. A dead zone is an area in a body of water where nothing grows because there is too little oxygen. There is a large dead zone in the Gulf of Mexico ( Figure below ). The U.S. states outlined on the map have rivers that drain into the Gulf of Mexico. The rivers drain vast agricultural lands. The water carries fertilizer from these areas into the Gulf.
Two neighboring towns from Texas produced their food in different ways. Silver town was sustainable and didn't use any fertilizers or pesticides, while Gold town did.",,Which town caused more fertilizer to dissolve in the soil?,Gold, The context states that Gold town used fertilizers and pesticides
scifact,Walking in traffic areas in London improves lung function in elderly adults.,fv,"Respiratory and cardiovascular responses to walking down a traffic-polluted road compared with walking in a traffic-free area in participants aged 60 years and older with chronic lung or heart disease and age-matched healthy controls: a randomised, crossover study BACKGROUND Long-term exposure to pollution can lead to an increase in the rate of decline of lung function, especially in older individuals and in those with chronic obstructive pulmonary disease (COPD), whereas shorter-term exposure at higher pollution levels has been implicated in causing excess deaths from ischaemic heart disease and exacerbations of COPD. We aimed to assess the effects on respiratory and cardiovascular responses of walking down a busy street with high levels of pollution compared with walking in a traffic-free area with lower pollution levels in older adults. METHODS In this randomised, crossover study, we recruited men and women aged 60 years and older with angiographically proven stable ischaemic heart disease or stage 2 Global initiative for Obstructive Lung Disease (GOLD) COPD who had been clinically stable for 6 months, and age-matched healthy volunteers. Individuals with ischaemic heart disease or COPD were recruited from existing databases or outpatient respiratory and cardiology clinics at the Royal Brompton & Harefield NHS Foundation Trust and age-matched healthy volunteers using advertising and existing databases. All participants had abstained from smoking for at least 12 months and medications were taken as recommended by participants' doctors during the study. Participants were randomly assigned by drawing numbered disks at random from a bag to do a 2 h walk either along a commercial street in London (Oxford Street) or in an urban park (Hyde Park). Baseline measurements of participants were taken before the walk in the hospital laboratory. During each walk session, black carbon, particulate matter (PM) concentrations, ultrafine particles, and nitrogen dioxide (NO2) concentrations were measured. FINDINGS Between October, 2012, and June, 2014, we screened 135 participants, of whom 40 healthy volunteers, 40 individuals with COPD, and 39 with ischaemic heart disease were recruited. Concentrations of black carbon, NO2, PM10, PM2.5, and ultrafine particles were higher on Oxford Street than in Hyde Park. Participants with COPD reported more cough (odds ratio [OR] 1·95, 95% CI 0·96-3·95; p<0·1), sputum (3·15, 1·39-7·13; p<0·05), shortness of breath (1·86, 0·97-3·57; p<0·1), and wheeze (4·00, 1·52-10·50; p<0·05) after walking down Oxford Street compared with Hyde Park. In all participants, irrespective of their disease status, walking in Hyde Park led to an increase in lung function (forced expiratory volume in the first second [FEV1] and forced vital capacity [FVC]) and a decrease in pulse wave velocity (PWV) and augmentation index up to 26 h after the walk. By contrast, these beneficial responses were attenuated after walking on Oxford Street. In participants with COPD, a reduction in FEV1 and FVC, and an increase in R5-20 were associated with an increase in during-walk exposure to NO2, ultrafine particles and PM2.5, and an increase in PWV and augmentation index with NO2 and ultrafine particles. In healthy volunteers, PWV and augmentation index were associated both with black carbon and ultrafine particles. INTERPRETATION Short-term exposure to traffic pollution prevents the beneficial cardiopulmonary effects of walking in people with COPD, ischaemic heart disease, and those free from chronic cardiopulmonary diseases. Medication use might reduce the adverse effects of air pollution in individuals with ischaemic heart disease. Policies should aim to control ambient levels of air pollution along busy streets in view of these negative health effects. FUNDING British Heart Foundation.",0.0,,,The context says that long-term exposure to pollution can lead to an increase in the rate of decline of lung function
scifact,"For every 1,000 children with cerebral palsy, more than 300 of them are premature or underweight at birth.",fv,"Changes in the prevalence of cerebral palsy for children born very prematurely within a population-based program over 30 years. CONTEXT Although cerebral palsy (CP) among extremely premature infants has been reported as a major morbidity outcome, there are difficulties comparing published CP rates from many sites over various birth years. OBJECTIVE To assess the changes in population-based, gestational age-specific prevalence rates of CP among extremely premature infants over 30 years. DESIGN Prospective population-based longitudinal outcome study. SETTING AND PARTICIPANTS In Northern Alberta, 2318 infants 20 to 27 weeks' gestational age with birth weights of 500 to 1249 g were liveborn from 1974 through 2003. By 2 years of age, 1437 (62%) had died, 23 (1%) were lost to follow-up, and 858 (37%) had received multidisciplinary neurodevelopmental assessment. MAIN OUTCOME MEASURE Population-based prevalence rates of CP were determined. Logistic regression with linear spline was used to assess changes in CP prevalence over time. RESULTS At age 2 years, 122 (14.2%) of 858 survivors had CP. This diagnosis was confirmed for each child by age 3 years or older. Among those whose gestational age was 20 to 25 weeks, population-based survival increased from 4% to 31% (P<.001), while CP prevalence per 1000 live births increased monotonically from 0 to 110 until the years 1992-1994 (P<.001) and decreased thereafter to 22 in the years 2001-2003 (P<.001). Among those whose gestational age was 26 to 27 weeks, population-based survival increased from 23% to between 75% and 80% (P<.001), while CP prevalence per 1000 live births increased monotonically from 15 to 155 until the years 1992-1994 (P<.001) and then decreased to 16 in the years 2001-2003 (P<.001). For all survivors born in the years 2001-2003, CP prevalence was 19 per 1000 live births. CONCLUSION Population-based CP prevalence rates for children whose gestational age was 20 to 27 weeks and whose birth weight ranged from 500 to 1249 g show steady reductions in the last decade with stable or reducing mortality, reversing trends prior to 1992-1994.",0.0,,,The context outlines the goal of the study as assessing the changes in prevalence rates of CP among extremely premature infants over 30 years not measuring the incidence of premature both among children with CP
scifact,Ethanol stress increases the expression of IBP in bacteria.,fv,"Regulatory and metabolic rewiring during laboratory evolution of ethanol tolerance in E. coli Understanding the genetic basis of adaptation is a central problem in biology. However, revealing the underlying molecular mechanisms has been challenging as changes in fitness may result from perturbations to many pathways, any of which may contribute relatively little. We have developed a combined experimental/computational framework to address this problem and used it to understand the genetic basis of ethanol tolerance in Escherichia coli. We used fitness profiling to measure the consequences of single-locus perturbations in the context of ethanol exposure. A module-level computational analysis was then used to reveal the organization of the contributing loci into cellular processes and regulatory pathways (e.g. osmoregulation and cell-wall biogenesis) whose modifications significantly affect ethanol tolerance. Strikingly, we discovered that a dominant component of adaptation involves metabolic rewiring that boosts intracellular ethanol degradation and assimilation. Through phenotypic and metabolomic analysis of laboratory-evolved ethanol-tolerant strains, we investigated naturally accessible pathways of ethanol tolerance. Remarkably, these laboratory-evolved strains, by and large, follow the same adaptive paths as inferred from our coarse-grained search of the fitness landscape.",0.0,,,the passage does not mention IBP in bacteria
scifact,Retinoic acid receptor-related orphan receptor gamma (RORγ) is a therapeutic target for castration-resistant prostate cancer (CRPC),fv,"ROR-γ drives androgen receptor expression and represents a therapeutic target in castration-resistant prostate cancer The androgen receptor (AR) is overexpressed and hyperactivated in human castration-resistant prostate cancer (CRPC). However, the determinants of AR overexpression in CRPC are poorly defined. Here we show that retinoic acid receptor-related orphan receptor γ (ROR-γ) is overexpressed and amplified in metastatic CRPC tumors, and that ROR-γ drives AR expression in the tumors. ROR-γ recruits nuclear receptor coactivator 1 and 3 (NCOA1 and NCOA3, also known as SRC-1 and SRC-3) to an AR-ROR response element (RORE) to stimulate AR gene transcription. ROR-γ antagonists suppress the expression of both AR and its variant AR-V7 in prostate cancer (PCa) cell lines and tumors. ROR-γ antagonists also markedly diminish genome-wide AR binding, H3K27ac abundance and expression of the AR target gene network. Finally, ROR-γ antagonists suppressed tumor growth in multiple AR-expressing, but not AR-negative, xenograft PCa models, and they effectively sensitized CRPC tumors to enzalutamide, without overt toxicity, in mice. Taken together, these results establish ROR-γ as a key player in CRPC by acting upstream of AR and as a potential therapeutic target for advanced PCa.",1.0,,,The context states that ROR-γ drives androgen receptor expression and represents a therapeutic target in castration-resistant prostate cancer
scifact,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.",fv,"Intestinal microbiota metabolism of L-carnitine, a nutrient in red meat, promotes atherosclerosis Intestinal microbiota metabolism of choline and phosphatidylcholine produces trimethylamine (TMA), which is further metabolized to a proatherogenic species, trimethylamine-N-oxide (TMAO). We demonstrate here that metabolism by intestinal microbiota of dietary L-carnitine, a trimethylamine abundant in red meat, also produces TMAO and accelerates atherosclerosis in mice. Omnivorous human subjects produced more TMAO than did vegans or vegetarians following ingestion of L-carnitine through a microbiota-dependent mechanism. The presence of specific bacterial taxa in human feces was associated with both plasma TMAO concentration and dietary status. Plasma L-carnitine levels in subjects undergoing cardiac evaluation (n = 2,595) predicted increased risks for both prevalent cardiovascular disease (CVD) and incident major adverse cardiac events (myocardial infarction, stroke or death), but only among subjects with concurrently high TMAO levels. Chronic dietary L-carnitine supplementation in mice altered cecal microbial composition, markedly enhanced synthesis of TMA and TMAO, and increased atherosclerosis, but this did not occur if intestinal microbiota was concurrently suppressed. In mice with an intact intestinal microbiota, dietary supplementation with TMAO or either carnitine or choline reduced in vivo reverse cholesterol transport. Intestinal microbiota may thus contribute to the well-established link between high levels of red meat consumption and CVD risk.",1.0,,,The context states Plasma L-carnitine levels in subjects undergoing cardiac evaluation predicted increased risks for both prevalent cardiovascular disease (CVD) and incident major adverse cardiac events
scifact,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,fv,"Association between infection with Helicobacter pylori and risk of gastric cancer: evidence from a prospective investigation. OBJECTIVE To investigate the association between gastric cancer and prior infection with Helicobacter pylori. DESIGN Case-control comparison of prevalence of IgG antibodies to H pylori in blood samples collected prospectively, before diagnosis of gastric cancer in the cases. Presence of H pylori antibody (greater than 10 micrograms IgG/ml) determined by enzyme linked immunosorbent assay (ELISA). SUBJECTS 29 men with a subsequent diagnosis of gastric cancer and 116 aged matched controls selected from over 22,000 middle aged men participating in two ongoing cohort studies (the British United Provident Association study and the Caerphilly collaborative heart disease study), who had provided blood samples during 1975-1982. RESULTS 20 of the 29 cases (69%) and 54 of the 116 controls (47%) were positive for H pylori specific antibody. The median specific IgG concentration was significantly higher in the cases than controls (90 micrograms/ml v 3.6 micrograms/ml, p less than 0.01). The estimated odds ratio for the risk of gastric cancer in those with a history of infection with H pylori was 2.77 (95% confidence interval 1.04 to 7.97, 2p = 0.039). CONCLUSIONS H pylori infection may be an important cause of gastric cancer; between 35% and 55% of all cases may be associated with such an infection.",1.0,,,The conclusion of the context states H pylori infection may be an important cause of gastric cancer
wanli,A woman was walking along the street.,fv,"One day, a couple of years ago, I was walking along the street and I saw a woman.",0.0,,,The context mentions seeing a woman while on a walk along the street
wanli,The United States cannot be expected to be the world's leading economic power.,fv,"Since it is the case that the more closely a country's economic structure resembles that of the United States, the more rapid is its economic growth, it is difficult to see how the United States could be expected to be the world's leading economic power.",0.0,,,The context expresses doubt that the United States can be the world's leading economic power
wanli,The Supreme Court's decision to allow affirmative action is a violation of the equal protection clause of the Fourteenth Amendment.,fv,The critics say that the Supreme Court's decision to allow affirmative action in public colleges and universities is a clear violation of the equal protection clause of the Fourteenth Amendment.,0.0,,,the context states an opinion of critics that is not the same as fact
wanli,The disease cannot be cured.,fv,The disease has no cure.,1.0,,,the context states that the disease cannot be cured
wanli,It is a matter of taste.,fv,The difference between a success and a failure is a matter of taste.,1.0,,,the context states that the difference between a success and a failure is a matter of taste
wanli,He is the greatest American novelist.,fv,"It is the most obvious of all contradictions that he, the greatest of all American novelists, is not even an American.",1.0,,,the context states he is the greatest American novelist
